sample	subsample	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Yale-TB125	0.5	NC_000962.3	1	4411532	1063070	931592	21.1172	29.2536	39.6	60
Yale-TB125	1.0	NC_000962.3	1	4411532	2125719	1354686	30.7078	58.4984	39.6	60
Yale-TB127	0.05	NC_000962.3	1	4411532	1247166	2299437	52.1233	35.7399	39.6	60
Yale-TB127	0.125	NC_000962.3	1	4411532	3108699	2997717	67.9518	89.0763	39.6	60
Yale-TB127	0.1	NC_000962.3	1	4411532	2487967	2832322	64.2027	71.2971	39.6	60
Yale-TB127	0.25	NC_000962.3	1	4411532	6211296	3467961	78.6113	177.958	39.6	60
Yale-TB127	0.5	NC_000962.3	1	4411532	12420399	3856435	87.4171	355.859	39.6	60
Yale-TB127	1.0	NC_000962.3	1	4411532	24853120	4117352	93.3316	712.03	39.6	60
Yale-TB152	0.05	NC_000962.3	1	4411532	557	45766	1.03742	0.0157626	39.5	60
Yale-TB152	0.125	NC_000962.3	1	4411532	1328	108023	2.44865	0.0376679	39.5	60
Yale-TB152	0.1	NC_000962.3	1	4411532	1064	86826	1.96816	0.03017	39.5	60
Yale-TB152	0.25	NC_000962.3	1	4411532	2606	207130	4.69519	0.0738662	39.5	60
Yale-TB152	0.5	NC_000962.3	1	4411532	5305	396517	8.98819	0.15096	39.5	60
Yale-TB152	1.0	NC_000962.3	1	4411532	10580	714185	16.189	0.301386	39.5	60
Yale-TB124	0.05	NC_000962.3	1	4411532	353626	472958	10.7209	10.0366	39.6	60
Yale-TB124	0.125	NC_000962.3	1	4411532	886053	756388	17.1457	25.1465	39.6	60
Yale-TB124	0.1	NC_000962.3	1	4411532	708343	672040	15.2337	20.0992	39.6	60
Yale-TB124	0.25	NC_000962.3	1	4411532	1772802	1058754	23.9997	50.3206	39.6	60
Yale-TB124	0.5	NC_000962.3	1	4411532	3548723	1459905	33.0929	100.721	39.6	60
Yale-TB124	1.0	NC_000962.3	1	4411532	7090510	1953534	44.2824	201.234	39.6	60
Yale-TB137	0.05	NC_000962.3	1	4411532	35419	1132355	25.6681	0.959832	39.6	60
Yale-TB137	0.125	NC_000962.3	1	4411532	87883	1939475	43.9638	2.37994	39.6	60
Yale-TB137	0.1	NC_000962.3	1	4411532	70304	1725064	39.1035	1.90531	39.6	60
Yale-TB137	0.25	NC_000962.3	1	4411532	175808	2597966	58.8903	4.75633	39.6	60
Yale-TB137	0.5	NC_000962.3	1	4411532	352784	3189217	72.2927	9.5488	39.6	60
Yale-TB137	1.0	NC_000962.3	1	4411532	705620	3635371	82.4061	19.0956	39.6	60
Yale-TB145	0.05	NC_000962.3	1	4411532	10357	556385	12.6121	0.274803	39.5	60
Yale-TB145	0.125	NC_000962.3	1	4411532	26247	1132257	25.6658	0.698043	39.5	60
Yale-TB145	0.1	NC_000962.3	1	4411532	20924	963083	21.831	0.555895	39.5	60
Yale-TB145	0.25	NC_000962.3	1	4411532	52623	1776088	40.2601	1.39614	39.5	60
Yale-TB145	0.5	NC_000962.3	1	4411532	105537	2552289	57.8549	2.79902	39.5	60
Yale-TB145	1.0	NC_000962.3	1	4411532	211289	3324799	75.3661	5.60024	39.5	60
Yale-TB153	0.05	NC_000962.3	1	4411532	1849	25028	0.567331	0.0369142	39.7	60
Yale-TB153	0.125	NC_000962.3	1	4411532	4738	50243	1.1389	0.0930128	39.6	60
Yale-TB153	0.1	NC_000962.3	1	4411532	3748	41232	0.934641	0.0737689	39.6	60
Yale-TB153	0.25	NC_000962.3	1	4411532	9416	89100	2.01971	0.184504	39.6	60
Yale-TB153	0.5	NC_000962.3	1	4411532	18821	168460	3.81863	0.369276	39.6	60
Yale-TB153	1.0	NC_000962.3	1	4411532	37484	288003	6.52841	0.735182	39.6	60
Yale-TB138	0.05	NC_000962.3	1	4411532	99763	109444	2.48086	2.68446	39.6	60
Yale-TB138	0.125	NC_000962.3	1	4411532	250154	174401	3.9533	6.73058	39.6	60
Yale-TB138	0.1	NC_000962.3	1	4411532	200603	154493	3.50203	5.39757	39.6	60
Yale-TB138	0.25	NC_000962.3	1	4411532	500942	243631	5.52259	13.4859	39.6	60
Yale-TB138	0.5	NC_000962.3	1	4411532	1000942	340062	7.70848	26.9508	39.6	60
Yale-TB138	1.0	NC_000962.3	1	4411532	2001828	477601	10.8262	53.9337	39.6	60
Yale-TB150	0.05	NC_000962.3	1	4411532	57	2673	0.0605912	0.00150492	39.7	60
Yale-TB150	0.125	NC_000962.3	1	4411532	125	3356	0.0760733	0.00305109	39.7	60
Yale-TB150	0.1	NC_000962.3	1	4411532	106	3059	0.069341	0.00265101	39.7	60
Yale-TB150	0.25	NC_000962.3	1	4411532	242	6564	0.148792	0.00610695	39.7	60
Yale-TB150	0.5	NC_000962.3	1	4411532	513	10823	0.245334	0.0128141	39.6	60
Yale-TB150	1.0	NC_000962.3	1	4411532	1057	17344	0.393151	0.0264158	39.6	60
Yale-TB134	0.05	NC_000962.3	1	4411532	101714	1830127	41.4851	2.8862	39.5	60
Yale-TB134	0.125	NC_000962.3	1	4411532	253916	2722608	61.7157	7.19531	39.6	60
Yale-TB134	0.1	NC_000962.3	1	4411532	203269	2508664	56.8661	5.76048	39.6	60
Yale-TB134	0.25	NC_000962.3	1	4411532	506193	3294964	74.6898	14.3477	39.6	60
Yale-TB134	0.5	NC_000962.3	1	4411532	1011390	3679247	83.4007	28.6745	39.6	60
Yale-TB134	1.0	NC_000962.3	1	4411532	2022780	3909872	88.6284	57.3429	39.6	60
Yale-TB141	0.05	NC_000962.3	1	4411532	49988	1658010	37.5835	1.4288	39.5	60
Yale-TB141	0.125	NC_000962.3	1	4411532	125496	2673135	60.5943	3.58788	39.5	60
Yale-TB141	0.1	NC_000962.3	1	4411532	100458	2422865	54.9212	2.87227	39.5	60
Yale-TB141	0.25	NC_000962.3	1	4411532	251457	3362266	76.2154	7.19234	39.5	60
Yale-TB141	0.5	NC_000962.3	1	4411532	501910	3814889	86.4754	14.3561	39.5	60
Yale-TB141	1.0	NC_000962.3	1	4411532	1002108	4054547	91.9079	28.659	39.5	60
Yale-TB143	0.05	NC_000962.3	1	4411532	384097	2440956	55.3313	11.053	39.5	60
Yale-TB143	0.125	NC_000962.3	1	4411532	962856	3206848	72.6924	27.6982	39.5	60
Yale-TB143	0.1	NC_000962.3	1	4411532	770057	3038655	68.8798	22.1542	39.5	60
Yale-TB143	0.25	NC_000962.3	1	4411532	1929373	3640868	82.5307	55.4994	39.5	60
Yale-TB143	0.5	NC_000962.3	1	4411532	3861626	3945388	89.4335	111.103	39.5	60
Yale-TB143	1.0	NC_000962.3	1	4411532	7725855	4108868	93.1393	222.293	39.5	60
Yale-TB136	0.05	NC_000962.3	1	4411532	15044	939032	21.2858	0.438309	39.5	60
Yale-TB136	0.125	NC_000962.3	1	4411532	37662	1735636	39.3432	1.09841	39.5	60
Yale-TB136	0.1	NC_000962.3	1	4411532	30184	1515120	34.3445	0.880801	39.5	60
Yale-TB136	0.25	NC_000962.3	1	4411532	75439	2517840	57.0741	2.19891	39.5	60
Yale-TB136	0.5	NC_000962.3	1	4411532	149714	3317467	75.1999	4.3632	39.5	60
Yale-TB136	1.0	NC_000962.3	1	4411532	299415	3932346	89.1379	8.73112	39.5	60
Yale-TB121	0.05	NC_000962.3	1	4411532	612	8787	0.199183	0.0141747	39.6	60
Yale-TB121	0.125	NC_000962.3	1	4411532	1544	15120	0.342738	0.0359281	39.6	60
Yale-TB121	0.1	NC_000962.3	1	4411532	1219	13456	0.305019	0.028182	39.6	60
Yale-TB121	0.25	NC_000962.3	1	4411532	3138	21078	0.477793	0.0731954	39.6	60
Yale-TB121	0.5	NC_000962.3	1	4411532	6178	27691	0.627696	0.144882	39.6	60
Yale-TB121	1.0	NC_000962.3	1	4411532	12604	37543	0.85102	0.295568	39.6	60
Yale-TB132	0.05	NC_000962.3	1	4411532	248512	1290668	29.2567	7.10772	39.6	60
Yale-TB132	0.125	NC_000962.3	1	4411532	619207	1915235	43.4143	17.712	39.6	60
